SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
$1 Books,4,81-82,,"buck books, dollar, cheap, discount"
20th Century ,2,57,,"twentieth, 1900's,"
7th Day Adventist,4,73,,"Religion, Seventh, seven,"
Academy Awards,3,93,,
Accounting,4,Center,West Side,
Actor/Performer Bios,3,76-77,,"actress, "
Addiction,2,69,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Adult Aphasia ,4,8,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Adult Children,4,6,,
Advertising,2,21,,
Advertising Management,2,21,,"Advertising, Typography, Printing, Digital Media,"
Africa,1,-, Room 3C,
Agriculture,3,86-87,,
AID's,2,Center,West Side,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Airline Disasters,3,81,,"Disaster, Disasters"
Alabama ,2,North Wall,,"States, United States, USA, US, America, United States of America,"
"Alamo, The",2,Center,Front,"The Alamo,"
Alaska ,2,North Wall,,"United States, US, America, United States of America, North, "
Alcohol & Drugs,2,69,,
Alcohol Beverages,1,-,Room 3A,cooking
Alcoholics Anonymous,2,69,,
Aliens,2,Center,East Side,"Extra, Terrestrial, E.T., Occult"
Allergies,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Almanacs,2,2,,Reference
Alternative Energy,2,20,,
Alternative Health,2,Center,"Middle of Floor, West Side","Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Alternative Health"
Alzheimer's,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Amazon, The",4,55,,"Rivers,"
American Catholicism,4,Center,Rear,"Religion,"
American Places (P.B.),3,E,,"Paperback, Paper Back"
American Politicians (P.B.),3,E,,"Paperback, Paper Back"
American Politics (P.B.),3,E,,"Paperback, Paper Back"
American Presidency (P.B.),3,E,,"Paperback, Paper Back"
American Presidents (By Name),4,32-35,,
American Revolution,2,48,,"Military, Army, War, "
American Revolution (P.B.),3,E,,"Paperback, Paper Back, Military, Army, War, "
American West,2,50,,"US, United States, America, USA, U.S."
Anatomy,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Human Body,"
Ancient Greece (P.B.),3,F,,"Paperback, Paper Back"
Ancient History,2,56,,
Ancient History (P.B.),3,F,,"Paperback, Paper Back"
Ancient Rome (P.B.),3,F,,"Paperback, Paper Back"
Anesthesia,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Angels,2,Center,East Side,"Religion, Occult"
Angels - Religion,4,66,,"Religion,"
Animals - By Name,2,6,,
Animals - General,2,6,,
Animals (P.B.),3,L,,"Paperback, Paper Back"
Anthropology,4,14,,
Anthropology (P.B.),3,J,,"Paperback, Paper Back"
Antimicrobial Therapy,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Antique -  American,2,40,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - All ,2,38-South Wall,"Begins at 38, interrupted, continues along East Wall & South Wall","Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Asian,2,38,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Furniture,2,40-41,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Glass,2,38,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Jewelry,2,39,,"antique, collectibles, fashion, accessories,"
Antique - Kitchen,2,40,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Lamps & Lighting,2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Music & Radios,2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
"Antique - Porcelain, Pottery, Ceramics, Etc)",2,38,,"antique, collectibles, fashion, accessories,"
Antique - Reference & Catalogues,2,East Wall,Rear,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Rugs & Tapestries,2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
"Antique - Toys (Dolls, Cars, Trains, etc)",2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique - Western & Country,2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
Antique (P.B.),3,M,,"Paperback, Paper Back"
Antique Weekly Magazine,2,39,,"Collectible, Collectibles, Antiques, Retro, Old, "
Archaeology,2,56,,
Archaeology (P.B.),3,J,,"Paperback, Paper Back"
Architecture,2,22,,
Architecture (P.B.),3,J,,"Paperback, Paper Back"
Arctic/Antarctic,2,6,,
Arizona ,2,North Wall,,"State, States, United States of America, USA, US, United States, America, Southwest"
Art,1,28-30,Room 2 & 4,Art
Art -  Erotic,1,See Staff,See Staff,Art
Art - African,1,-,Room 2A,Art
Art - African-American,1,-,Room 2A,Art
Art - Asian,1,-,Room 2A,Art
Art - European,1,-,Room 2A,"Italian, German, Austrian, French, Scandinavian, English, Netherlands, Spanish, Dutch, Flemish, Art"
Art - Foreign Language,1,2,Room 2B,Art
Art - History of,1,-,Room 2A,Art
Art - Reference,1,-,Room 2A,Art
Art - Religious,1,2,Room 2B,"Religion, Art"
Art - Technique,1,28,Room 4,Art
Art (P.B.),3,M,,"Paperback, Paper Back"
Arthritis,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Artificial Intelligence,2,16,,"AI, A.I., ChatGPT, Gemini, LLM, "
Asia,4,56,,"World, Continent, Continents, Orient, Oriental, Far East, "
Asthma,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Astrology,2,Center,East Side,"Horoscopes, Horoscope, Tarot, Signs, Sign, Zodiac, Occult,"
Astronomy,2,33,,"Space, Stars, Sky, "
Atheism,1,Center,Room 4,"Religion,"
Atlases,4,3,,"World, Maps, Map,"
Atomic Bomb,2,25,,"Military, Army, War, Weapon,"
Atomic/Nuclear Weapons,2,25,,"Military, Army, War, Weapon,"
Audio Book,4,69,,"Digital Media,"
Australia,2,60,,"Continent, Country, Oceana, South Pacific, South Asia,"
Author Biographies (B-Z),3,63-70,,"Bios, Bio, "
Author Biographies (P.B.),3,M,,"Paperback, Paper Back, Bio, Bios"
AutoCad,2,18,,"Civil Engineering, Construction, Blueprints, AutoCad, Technical Drawing"
Automotive,3,83,,"Car, Cars, Truck, Trucks, Motorcycle, Transportation, Motorcycle, Van, Vans, Auto, Vehicle,"
Automotive - Michigan Related,1,26,Room 4,"Car, Cars, Truck, Trucks, Motorcycle, Transportation, Motorcycle, Van, Vans, Auto, Vehicle,"
Automotive Repair,3,89-90,,"Car, Cars, Truck, Trucks, Motorcycle, Transportation, Motorcycle, Van, Vans, Auto, Vehicle,"
Aviation,3,81,,"Planes, Airplanes, Aeroplanes,"
Baby,4,Center,East Side,"Children, Kids, Newborn, Family, Infant,"
Back Pain,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Bahamas, The",4,55,,"Country, Countries, Caribbean,"
Ballet,1,Case B,Room 4,"Dance, Theater, Performing Arts,"
Bangkok,4,56,,"City, Country, World, Asian, Asia"
Baptism,4,73,,"Religion, Baptist"
Barbados,4,55,,"Country, Countries, Caribbean,"
Bart Simpson ,1,62,,"The Simpsons, Cartoon,"
Basketball,1,-,"Room 3A, 3B","Sports,"
Bathroom (Key Needed),2,-,"RED DOOR, Rear Corner","Restroom, Ladies, Gentleman, Mens, Womens, Toilet,"
"Beatles, The",1,Case I,Room 4,"Music. Musician,"
Beauty,4,39,,Fashion
Bermuda,4,55,,"Country, Countries, Caribbean,"
Bible Commentary,4,West Wall,,"Religion, Religious, Christianity"
Bibles,1,Left Side,Room 1,"Religion, Religious, Christianity"
"Biden, Joe",4,36,,"American Presidents, United States, USA,"
Biofeedback,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Biology,2,10-12,,"Science, Life,"
Birds,2,7,,"Animals,"
Birth Defects,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Black American Music,1,Case I,Room 4,"Music, Musician, Album,"
Black History,1,-, Room 3B,"African American,"
Blank Books,4,50,,"Calendars, Notebooks, Albums, Photo Albums, Journals, Planner, Diaries, Diary, "
Blood,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Bloomsbury (P.B.),3,N,,"Paperback, Paper Back"
Book Binding,4,31,,
Books About Books,4,30-31,,
Books About Books (P.B.),3,M,,"Paperback, Paper Back"
Borneo,4,56,,"Countries, Country, World"
Boston ,2,47,,"Cities, City, American, US, "
Botany,2,11,,"Gardening, Agriculture"
Boy Scouts ,4,J,,
Brain Surgery,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Brain, The",2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Brazil,4,55,,"Country, Countries, South America, Latin, Brazilian "
Breast Cancer,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
British Army (P.B.),3,E,,"Paperback, Paper Back"
British Government (P.B.),3,E,,"Paperback, Paper Back"
British History (P.B.),3,E,,"Paperback, Paper Back"
British Places (P.B.),3,E,,"Paperback, Paper Back"
British Politicians (P.B.),3,E,,"Paperback, Paper Back"
Buddhism,2,12,,"Religion,"
Budgeting,4,54,,Finances
Burma (Myanmar),4,56,,"Country, Countries,"
Business,4,43-46,,
Business (P.B.),3,K,,"Paperback, Paper Back"
Business Biographies (P.B.),3,K,,"Paperback, Paper Back"
Cacti,3,87,,"Gardening, Agriculture"
Cactus,3,87,,"Gardening, Agriculture"
Calendars,4,50,,"Time, Horology, Clocks, Blank Books, Planner, Schedule, Date Book,"
California ,2,45,,"States, State, United States,"
Calligraphy,2,21,,"Advertising, Typography, Printing, Digital Media,"
Cambodia,4,56,,"Country, Countries, Asia,"
Camping,2,8,,
Canada,2,66-68,,"Country, Countries,"
Canada (P.B.),3,J,,"Paperback, Paper Back, Country, Countries"
Cancer,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Cannon Law,4,71,,"Religion,"
Cardiology,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Careers (Jobs),4,49,,
Caribbean ,4,55,,"Sea, "
Carpentry,2,28,,"Home improvement, woodworking, repair, interior decorating, "
Cathedrals,4,71,,"Religion,"
Catholic Bible Study,4,West Wall,,"Religion,"
Catholic Biographies,4,"68-69, West Wall",,"Religion,"
Catholic Missions,4,71,,"Religion,"
Catholicism,4,67-74,,"Religion,"
Cats,4,39,,"Animals, Pets"
CD's,1,Case O,Room 4,
Cemeraries,4,9,,
Central & Eastern Europe ,2,64,,
Central & South America (P.B.),3,F,,"Paperback, Paper Back"
Central America,4,55,,
Chemistry,2,32,,"Science,"
Chemotherapy,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Chess,2,13,,Games
Chicago ,2,47,,"City, Cities, Illinois"
Child Care,4,6,,
Child Development,4,Center,East Side,"Psychology,"
Children (P.B.),3,H,,"Paperback, Paper Back"
Children's Vintage Books,1,1,Room 2B,
China,4,57,,"Country, Countries,"
Cholesterol,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Christian Biographies ,4,66,,"Religion,"
Christian Crime,4,66,,"Religion,"
Christian Education (College),4,66,,"Religion,"
"Christian Education (Elementary, Junior & High School)",4,66,,"Religion,"
Christian Education (General),4,66,,"Religion,"
Christian Journals,4,West Wall,,"Religion,"
Christian Missions,4,65,,"Religion,"
Christian Mystics,4,65,,"Religion,"
Christian Plays,4,66,,"Religion,"
Christian Science,4,73,,"Religion,"
Christianity,1,Right Side,Room 1,"Religion,"
Christianity (General),4,64-66,,"Religion,"
Christianity Sets & Series,4,72,,"Religion,"
Christie's,1,2,Room 2B,Art
Christmas,4,74,,"Religion,"
Chronic Fatigue Syndrome,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
CIA (P.B.),3,B,,"Paperback, Paper Back, Espionage"
Cigars,2,69,,"Smoking, Cigarettes, Drugs and Alcohol, "
Circus,2,40,,"Fair,"
Civil Engineering,2,18,,"Civil Engineering, Construction, Blueprints, AutoCad, Technical Drawing"
Civil War,1,35 - 38,Room 4,"Military, Army, War,"
Civil War (P.B.),3,F,,"Paperback, Paper Back"
Class,4,12,,
Classical Music,1,Case L,Room 4,
Clergy,4,69,,"Religion,"
Clinical Drugs,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Clip Art,2,21,,"Advertising, Typography, Printing, Digital Media,"
Clocks (Horology),2,40,,"Watches, Time, Fashion,"
Coal,2,20,,"Energy,"
Coding/Programming,2,16,,"Programming, Coding, Computer Science,"
Coins/Numismatics,4,West Wall,,"Collecting, Collectible, Collectibles, Antiques, Retro, Old, Money, "
Cold War,4,"58, West Wall",,"Military, Army, War,"
Collected Poet Biographies (P.B.),3,F,,"Paperback, Paper Back"
Collectibles,2,39,,"Collecting, Collectible, Collectibles, Antiques, Retro, Old, "
College General Education,4,66,,
College/Higher Education,4,4,,
Collegiate Music,1,Case Q,Room 4,
Colonial America (P.B.),3,E,,"Paperback, Paper Back"
Colorado ,2,47,,"States, State, United States,"
Comic Books,1,E.C. Aisle 28,Room 4,"Graphic Novels,"
Common Cold,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Communion,4,71,,"Religion,"
Communism,4,60,,"Politics, Government,"
Community Health,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Computers,2,15-16,,Technology
Connecticut ,2,47,,"States, State, United States,"
Conspiracies,4,"59, West Wall",,"Illuminati, New World Order,"
Construction,2,18,,"Civil Engineering, Construction, Blueprints, AutoCad, Technical Drawing"
Consumer Affairs (P.B.),3,K,,"Paperback, Paper Back"
Consumer Guides,2,76,,
Contraceptives,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Cooking,1,-,Room 3,
Cosmetic Surgery,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Countries of the World (P.B.),3,F,,"Paperback, Paper Back"
Crafts,2,41,,"Countries, Country, Earth,"
Crime,4,Center,"Middle, East Side","Prisons, Prevention,"
Criminology,4,Center,"Rear, West Side",
Crohn's Disease,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Crops,3,87,,"Gardening, Agriculture"
Crusades,2,56,,"Religion,"
Cryptozoology,2,Center,East Side,"Occult,"
Crystals,2,Center,East Side,Occult
Cuba,4,55,,"Countries, Country, Caribbean, Americas, "
Cults,1,-,Room 1,
Current Royal Family,3,93,,"Monarchy, Royalty, United Kingdom, Kings, Queens,"
"Custer, General George",2,Center,Front,"American West, Crazy Horse, Little Bighorn"
Czechoslovakia ,2,64,,"Countries, Country, Europe, Region, "
D.I.Y.,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Dams,2,55,,Infrastructure
Dance,1,Case C,Room 4,
"Darwin, Charles",2,9,,"Evolution, "
Date Books,4,50,,"Planner, Calendar,"
Death,4,9-10,,
Death (P.B.),3,J,,"Paperback, Paper Back"
Deck & Patios,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Decoys (Hunting),2,8,,
Dementia,4,42,,"Aging,"
Demons,2,Center,East Side,"Religion,"
Denmark ,2,64,,Occult
Dental/Oral Medicine,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Dermatology,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Design,2,21,,
Detroit History,1,E.C. Aisle 39 & 42,Room 4,"Cities, City, Michigan, Local,"
Developmental Disability,4,8,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Devotionals,4,"West Wall, 66",,"Religion,"
Diabetes,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Diagnostics,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Dialysis,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Diaries/Journals,4,50,,"Planner, Calendar,"
Dictionaries,2,1,,"Reference, Writing,"
Dictionaries (P.B.),3,L,,"Paperback, Paper Back, Reference, Writing"
